Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1300397.trim_1P	0.0	0.0
SRR1300398.trim_1P	0.0	0.0
SRR1300399.trim_1P	0.0	0.0
SRR1300400.trim_1P	0.0	0.0
SRR1300401.trim_1P	0.0	0.0
SRR1300402.trim_1P	0.0	0.0
SRR1300403.trim_1P	0.0	0.0
SRR1300404.trim_1P	0.0	0.0
SRR1300405.trim_1P	0.0	0.0
SRR1300406.trim_1P	0.0	0.0
SRR1300407.trim_1P	0.0	0.0
SRR1300408.trim_1P	0.0	0.0
SRR1300409.trim_1P	0.0	0.0
SRR1300410.trim_1P	4.448670258540283	0.2553648631618761
SRR1300411.trim_1P	0.0	0.0
SRR1300412.trim_1P	0.0	0.0
SRR1300413.trim_1P	0.0	0.0
SRR1300414.trim_1P	0.0	0.0
SRR1300415.trim_1P	0.0	0.0
SRR1300416.trim_1P	0.0	0.0
SRR1300417.trim_1P	0.0	0.0
SRR1300418.trim_1P	0.0	0.0
SRR1300419.trim_1P	0.0	0.0
SRR1300420.trim_1P	0.0	0.0
SRR1300421.trim_1P	0.0	0.0
SRR1300422.trim_1P	0.0	0.0
SRR1300423.trim_1P	0.0	0.0
SRR1300424.trim_1P	0.0	0.0
SRR1300425.trim_1P	0.0	0.0
SRR1300426.trim_1P	0.0	0.0
SRR1300427.trim_1P	0.0	0.0
SRR1300428.trim_1P	0.0	0.0
SRR1300429.trim_1P	0.0	0.0
SRR1300430.trim_1P	0.0	0.0
SRR1300431.trim_1P	0.0	0.0
SRR1300432.trim_1P	0.0	0.0
SRR1300433.trim_1P	0.0	0.0
SRR1300434.trim_1P	0.0	0.0
SRR1300435.trim_1P	0.0	0.0
SRR1300436.trim_1P	0.0	0.0
SRR1300437.trim_1P	0.0	0.0
SRR1300438.trim_1P	0.0	0.0
SRR1300439.trim_1P	0.0	0.0
SRR1300440.trim_1P	0.0	0.0
SRR1300441.trim_1P	0.0	0.0
SRR1300442.trim_1P	0.0	0.0
SRR1300443.trim_1P	0.0	0.0
SRR1300444.trim_1P	0.0	0.0
SRR1300445.trim_1P	0.0	0.0
SRR1300446.trim_1P	0.0	0.0
SRR1300447.trim_1P	0.0	0.0
SRR1300448.trim_1P	0.0	0.0
SRR1300449.trim_1P	0.0	0.0
SRR1300450.trim_1P	0.0	0.0
